scenario,frequency_hz,input_rms_db,output_rms_db,response_db,peak
flat,31,-14.981384137736256,-14.981384137736256,0,0.25
flat,62,-15.02971211084773,-15.02971211084773,0,0.25
flat,125,-15.051499821533236,-15.051499821533236,0,0.25
flat,250,-15.05149984785086,-15.05149984785086,0,0.25
flat,500,-15.051499834802446,-15.051499834802446,0,0.25
flat,1000,-15.051499865875787,-15.051499865875787,0,0.25
flat,2000,-15.051499885991257,-15.051499885991257,0,0.25
flat,4000,-15.05149986114681,-15.05149986114681,0,0.25
flat,8000,-15.051499939094564,-15.051499939094564,0,0.21650634706020355
flat,16000,-15.051499939094564,-15.051499939094564,0,0.21650634706020355
vocal_1khz_boost,31,-14.981384137736256,-14.976284153467958,0.005099984268298385,0.25014808773994446
vocal_1khz_boost,62,-15.02971211084773,-15.009135129182782,0.020576981664946814,0.25059521198272705
vocal_1khz_boost,125,-15.051499821533236,-14.966683591417425,0.08481623011581085,0.2524946331977844
vocal_1khz_boost,250,-15.05149984785086,-14.697032300410617,0.3544675474402421,0.2604134678840637
vocal_1khz_boost,500,-15.051499834802446,-13.401814336518623,1.649685498283823,0.32244548201560974
vocal_1khz_boost,1000,-15.051499865875787,-9.051499868974469,5.999999996901318,0.49881666898727417
vocal_1khz_boost,2000,-15.051499885991257,-13.414248558236768,1.6372513277544893,0.3462599813938141
vocal_1khz_boost,4000,-15.05149986114681,-14.712013278052844,0.33948658309396684,0.2850930988788605
vocal_1khz_boost,8000,-15.051499939094564,-14.981525095738641,0.06997484335592219,0.24172115325927734
vocal_1khz_boost,16000,-15.051499939094564,-15.043810273766843,0.007689665327720974,0.22519223392009735
